queryId,rep,http,tookMs,effectiveMode,stageId,status,ms
q01,0,200,671,HYBRID,correction,skipped,
q01,0,200,671,HYBRID,sparse-retrieval,executed,
q01,0,200,671,HYBRID,dense-retrieval,executed,
q01,0,200,671,HYBRID,splade-retrieval,skipped,
q01,0,200,671,HYBRID,fusion,executed,20
q01,0,200,671,HYBRID,chunk-merge,executed,26
q01,0,200,671,HYBRID,branch-fusion,executed,1
q01,0,200,671,HYBRID,query-understanding,executed,
q01,0,200,671,HYBRID,expansion,skipped,
q01,0,200,671,HYBRID,lambdamart,skipped,
q01,0,200,671,HYBRID,cross-encoder,executed,241
q01,0,200,671,HYBRID,freshness,executed,
q01,1,200,1213,HYBRID,correction,skipped,
q01,1,200,1213,HYBRID,sparse-retrieval,executed,
q01,1,200,1213,HYBRID,dense-retrieval,executed,
q01,1,200,1213,HYBRID,splade-retrieval,skipped,
q01,1,200,1213,HYBRID,fusion,executed,9
q01,1,200,1213,HYBRID,chunk-merge,executed,16
q01,1,200,1213,HYBRID,branch-fusion,executed,0
q01,1,200,1213,HYBRID,query-understanding,executed,
q01,1,200,1213,HYBRID,expansion,skipped,
q01,1,200,1213,HYBRID,lambdamart,skipped,
q01,1,200,1213,HYBRID,cross-encoder,executed,203
q01,1,200,1213,HYBRID,freshness,executed,
q01,2,200,1309,HYBRID,correction,skipped,
q01,2,200,1309,HYBRID,sparse-retrieval,executed,
q01,2,200,1309,HYBRID,dense-retrieval,executed,
q01,2,200,1309,HYBRID,splade-retrieval,skipped,
q01,2,200,1309,HYBRID,fusion,executed,10
q01,2,200,1309,HYBRID,chunk-merge,executed,16
q01,2,200,1309,HYBRID,branch-fusion,executed,0
q01,2,200,1309,HYBRID,query-understanding,executed,
q01,2,200,1309,HYBRID,expansion,skipped,
q01,2,200,1309,HYBRID,lambdamart,skipped,
q01,2,200,1309,HYBRID,cross-encoder,executed,252
q01,2,200,1309,HYBRID,freshness,executed,
q02,0,200,1634,HYBRID,correction,skipped,
q02,0,200,1634,HYBRID,sparse-retrieval,executed,
q02,0,200,1634,HYBRID,dense-retrieval,executed,
q02,0,200,1634,HYBRID,splade-retrieval,skipped,
q02,0,200,1634,HYBRID,fusion,executed,11
q02,0,200,1634,HYBRID,chunk-merge,executed,15
q02,0,200,1634,HYBRID,branch-fusion,executed,0
q02,0,200,1634,HYBRID,query-understanding,executed,
q02,0,200,1634,HYBRID,expansion,skipped,
q02,0,200,1634,HYBRID,lambdamart,skipped,
q02,0,200,1634,HYBRID,cross-encoder,executed,258
q02,0,200,1634,HYBRID,freshness,executed,
q02,1,200,1307,HYBRID,correction,skipped,
q02,1,200,1307,HYBRID,sparse-retrieval,executed,
q02,1,200,1307,HYBRID,dense-retrieval,executed,
q02,1,200,1307,HYBRID,splade-retrieval,skipped,
q02,1,200,1307,HYBRID,fusion,executed,8
q02,1,200,1307,HYBRID,chunk-merge,skipped,
q02,1,200,1307,HYBRID,branch-fusion,skipped,
q02,1,200,1307,HYBRID,query-understanding,executed,
q02,1,200,1307,HYBRID,expansion,executed,
q02,1,200,1307,HYBRID,lambdamart,skipped,
q02,1,200,1307,HYBRID,cross-encoder,executed,260
q02,1,200,1307,HYBRID,freshness,executed,
q02,2,200,1555,HYBRID,correction,skipped,
q02,2,200,1555,HYBRID,sparse-retrieval,executed,
q02,2,200,1555,HYBRID,dense-retrieval,executed,
q02,2,200,1555,HYBRID,splade-retrieval,skipped,
q02,2,200,1555,HYBRID,fusion,executed,8
q02,2,200,1555,HYBRID,chunk-merge,executed,14
q02,2,200,1555,HYBRID,branch-fusion,executed,0
q02,2,200,1555,HYBRID,query-understanding,executed,
q02,2,200,1555,HYBRID,expansion,skipped,
q02,2,200,1555,HYBRID,lambdamart,skipped,
q02,2,200,1555,HYBRID,cross-encoder,executed,232
q02,2,200,1555,HYBRID,freshness,executed,
q03,0,200,1402,HYBRID,correction,skipped,
q03,0,200,1402,HYBRID,sparse-retrieval,executed,
q03,0,200,1402,HYBRID,dense-retrieval,executed,
q03,0,200,1402,HYBRID,splade-retrieval,skipped,
q03,0,200,1402,HYBRID,fusion,executed,9
q03,0,200,1402,HYBRID,chunk-merge,executed,15
q03,0,200,1402,HYBRID,branch-fusion,executed,0
q03,0,200,1402,HYBRID,query-understanding,executed,
q03,0,200,1402,HYBRID,expansion,skipped,
q03,0,200,1402,HYBRID,lambdamart,skipped,
q03,0,200,1402,HYBRID,cross-encoder,executed,248
q03,0,200,1402,HYBRID,freshness,executed,
q03,1,200,1343,HYBRID,correction,skipped,
q03,1,200,1343,HYBRID,sparse-retrieval,executed,
q03,1,200,1343,HYBRID,dense-retrieval,executed,
q03,1,200,1343,HYBRID,splade-retrieval,skipped,
q03,1,200,1343,HYBRID,fusion,executed,8
q03,1,200,1343,HYBRID,chunk-merge,executed,13
q03,1,200,1343,HYBRID,branch-fusion,executed,0
q03,1,200,1343,HYBRID,query-understanding,executed,
q03,1,200,1343,HYBRID,expansion,skipped,
q03,1,200,1343,HYBRID,lambdamart,skipped,
q03,1,200,1343,HYBRID,cross-encoder,executed,195
q03,1,200,1343,HYBRID,freshness,executed,
q03,2,200,1384,HYBRID,correction,skipped,
q03,2,200,1384,HYBRID,sparse-retrieval,executed,
q03,2,200,1384,HYBRID,dense-retrieval,executed,
q03,2,200,1384,HYBRID,splade-retrieval,skipped,
q03,2,200,1384,HYBRID,fusion,executed,7
q03,2,200,1384,HYBRID,chunk-merge,executed,13
q03,2,200,1384,HYBRID,branch-fusion,executed,0
q03,2,200,1384,HYBRID,query-understanding,executed,
q03,2,200,1384,HYBRID,expansion,skipped,
q03,2,200,1384,HYBRID,lambdamart,skipped,
q03,2,200,1384,HYBRID,cross-encoder,executed,232
q03,2,200,1384,HYBRID,freshness,executed,
q04,0,200,1751,HYBRID,correction,skipped,
q04,0,200,1751,HYBRID,sparse-retrieval,executed,
q04,0,200,1751,HYBRID,dense-retrieval,executed,
q04,0,200,1751,HYBRID,splade-retrieval,skipped,
q04,0,200,1751,HYBRID,fusion,executed,9
q04,0,200,1751,HYBRID,chunk-merge,executed,12
q04,0,200,1751,HYBRID,branch-fusion,executed,0
q04,0,200,1751,HYBRID,query-understanding,executed,
q04,0,200,1751,HYBRID,expansion,skipped,
q04,0,200,1751,HYBRID,lambdamart,skipped,
q04,0,200,1751,HYBRID,cross-encoder,executed,253
q04,0,200,1751,HYBRID,freshness,executed,
q04,1,200,1673,HYBRID,correction,skipped,
q04,1,200,1673,HYBRID,sparse-retrieval,executed,
q04,1,200,1673,HYBRID,dense-retrieval,executed,
q04,1,200,1673,HYBRID,splade-retrieval,skipped,
q04,1,200,1673,HYBRID,fusion,executed,9
q04,1,200,1673,HYBRID,chunk-merge,executed,12
q04,1,200,1673,HYBRID,branch-fusion,executed,0
q04,1,200,1673,HYBRID,query-understanding,executed,
q04,1,200,1673,HYBRID,expansion,skipped,
q04,1,200,1673,HYBRID,lambdamart,skipped,
q04,1,200,1673,HYBRID,cross-encoder,executed,215
q04,1,200,1673,HYBRID,freshness,executed,
q04,2,200,1737,HYBRID,correction,skipped,
q04,2,200,1737,HYBRID,sparse-retrieval,executed,
q04,2,200,1737,HYBRID,dense-retrieval,executed,
q04,2,200,1737,HYBRID,splade-retrieval,skipped,
q04,2,200,1737,HYBRID,fusion,executed,8
q04,2,200,1737,HYBRID,chunk-merge,executed,12
q04,2,200,1737,HYBRID,branch-fusion,executed,0
q04,2,200,1737,HYBRID,query-understanding,executed,
q04,2,200,1737,HYBRID,expansion,skipped,
q04,2,200,1737,HYBRID,lambdamart,skipped,
q04,2,200,1737,HYBRID,cross-encoder,executed,233
q04,2,200,1737,HYBRID,freshness,executed,
q05,0,200,607,HYBRID,correction,skipped,
q05,0,200,607,HYBRID,sparse-retrieval,executed,
q05,0,200,607,HYBRID,dense-retrieval,executed,
q05,0,200,607,HYBRID,splade-retrieval,skipped,
q05,0,200,607,HYBRID,fusion,executed,7
q05,0,200,607,HYBRID,chunk-merge,executed,11
q05,0,200,607,HYBRID,branch-fusion,executed,0
q05,0,200,607,HYBRID,query-understanding,executed,
q05,0,200,607,HYBRID,expansion,skipped,
q05,0,200,607,HYBRID,lambdamart,skipped,
q05,0,200,607,HYBRID,cross-encoder,executed,203
q05,0,200,607,HYBRID,freshness,executed,
q05,1,200,459,HYBRID,correction,skipped,
q05,1,200,459,HYBRID,sparse-retrieval,executed,
q05,1,200,459,HYBRID,dense-retrieval,executed,
q05,1,200,459,HYBRID,splade-retrieval,skipped,
q05,1,200,459,HYBRID,fusion,executed,7
q05,1,200,459,HYBRID,chunk-merge,executed,12
q05,1,200,459,HYBRID,branch-fusion,executed,0
q05,1,200,459,HYBRID,query-understanding,executed,
q05,1,200,459,HYBRID,expansion,skipped,
q05,1,200,459,HYBRID,lambdamart,skipped,
q05,1,200,459,HYBRID,cross-encoder,executed,182
q05,1,200,459,HYBRID,freshness,executed,
q05,2,200,349,HYBRID,correction,skipped,
q05,2,200,349,HYBRID,sparse-retrieval,executed,
q05,2,200,349,HYBRID,dense-retrieval,executed,
q05,2,200,349,HYBRID,splade-retrieval,skipped,
q05,2,200,349,HYBRID,fusion,executed,8
q05,2,200,349,HYBRID,chunk-merge,executed,11
q05,2,200,349,HYBRID,branch-fusion,executed,0
q05,2,200,349,HYBRID,query-understanding,executed,
q05,2,200,349,HYBRID,expansion,skipped,
q05,2,200,349,HYBRID,lambdamart,skipped,
q05,2,200,349,HYBRID,cross-encoder,executed,145
q05,2,200,349,HYBRID,freshness,executed,
q06,0,200,542,HYBRID,correction,skipped,
q06,0,200,542,HYBRID,sparse-retrieval,executed,
q06,0,200,542,HYBRID,dense-retrieval,executed,
q06,0,200,542,HYBRID,splade-retrieval,skipped,
q06,0,200,542,HYBRID,fusion,executed,8
q06,0,200,542,HYBRID,chunk-merge,executed,13
q06,0,200,542,HYBRID,branch-fusion,executed,0
q06,0,200,542,HYBRID,query-understanding,executed,
q06,0,200,542,HYBRID,expansion,skipped,
q06,0,200,542,HYBRID,lambdamart,skipped,
q06,0,200,542,HYBRID,cross-encoder,executed,147
q06,0,200,542,HYBRID,freshness,executed,
q06,1,200,511,HYBRID,correction,skipped,
q06,1,200,511,HYBRID,sparse-retrieval,executed,
q06,1,200,511,HYBRID,dense-retrieval,executed,
q06,1,200,511,HYBRID,splade-retrieval,skipped,
q06,1,200,511,HYBRID,fusion,executed,9
q06,1,200,511,HYBRID,chunk-merge,executed,15
q06,1,200,511,HYBRID,branch-fusion,executed,0
q06,1,200,511,HYBRID,query-understanding,executed,
q06,1,200,511,HYBRID,expansion,skipped,
q06,1,200,511,HYBRID,lambdamart,skipped,
q06,1,200,511,HYBRID,cross-encoder,executed,140
q06,1,200,511,HYBRID,freshness,executed,
