ts,role,pid,workingSetMB,privateMB,cpuSec,threads
2026-09-07T10:04:54.0050258+02:00,head,6436,335,691.9,4.9,69
2026-09-07T10:04:54.0125925+02:00,worker,10544,266,1206,2.6,47
2026-09-07T10:04:56.0612753+02:00,head,6436,338.1,693.4,5,71
2026-09-07T10:04:56.0642768+02:00,worker,10544,304.9,1243.2,4.3,51
2026-09-07T10:04:58.1195150+02:00,head,6436,366.6,695.4,6,80
2026-09-07T10:04:58.1235167+02:00,worker,10544,316.5,1246.1,5.6,51
2026-09-07T10:05:00.1708330+02:00,head,6436,371.5,700,6.1,84
2026-09-07T10:05:00.1738113+02:00,worker,10544,1488.4,2197.7,9.5,60
2026-09-07T10:05:02.2345206+02:00,head,6436,355.1,683.6,6.2,82
2026-09-07T10:05:02.2375289+02:00,worker,10544,2544,3510.8,11.7,93
2026-09-07T10:05:04.3035386+02:00,head,6436,355.6,684.2,6.2,82
2026-09-07T10:05:04.3065379+02:00,worker,10544,3120.8,3401.4,14,120
2026-09-07T10:05:06.3695377+02:00,head,6436,355.6,684.2,6.2,82
2026-09-07T10:05:06.3745454+02:00,worker,10544,3657,5980.2,16.6,142
2026-09-07T10:05:08.4425218+02:00,head,6436,355.9,684.4,6.2,82
2026-09-07T10:05:08.4455268+02:00,worker,10544,4019.7,7041.3,18.7,170
2026-09-07T10:05:10.5488980+02:00,head,6436,366.2,694.8,6.3,85
2026-09-07T10:05:10.5524700+02:00,worker,10544,4024.6,6808.5,19,165
2026-09-07T10:05:12.6200346+02:00,head,6436,357.5,685.5,6.3,85
2026-09-07T10:05:12.6225633+02:00,worker,10544,4024.7,6808.5,19,165
2026-09-07T10:05:14.6890609+02:00,head,6436,358.4,686.3,6.3,85
2026-09-07T10:05:14.6920597+02:00,worker,10544,4024.8,6808.6,19.1,165
2026-09-07T10:05:16.7547117+02:00,head,6436,358.4,686.3,6.3,85
2026-09-07T10:05:16.7577254+02:00,worker,10544,4024.8,6808.6,19.1,165
2026-09-07T10:05:18.8329714+02:00,head,6436,358.4,686.3,6.4,85
2026-09-07T10:05:18.8359791+02:00,worker,10544,4024.8,6808.6,19.1,165
2026-09-07T10:05:20.8982659+02:00,head,6436,359,687,6.5,88
2026-09-07T10:05:20.9012601+02:00,worker,10544,4026.2,6808.9,19.3,165
2026-09-07T10:05:22.9920653+02:00,head,6436,359.1,687.1,6.5,88
2026-09-07T10:05:22.9950654+02:00,worker,10544,4026.2,6808.9,19.3,165
2026-09-07T10:05:25.0312634+02:00,head,6436,359.8,687.9,6.5,91
2026-09-07T10:05:25.0352620+02:00,worker,10544,4029.5,6809.7,19.5,168
2026-09-07T10:05:27.0814692+02:00,head,6436,359.8,687.9,6.5,91
2026-09-07T10:05:27.0839901+02:00,worker,10544,4029.5,6809.6,19.6,167
2026-09-07T10:05:29.1468910+02:00,head,6436,360.8,688.9,6.7,94
2026-09-07T10:05:29.1498912+02:00,worker,10544,4042.7,6822.1,19.8,171
2026-09-07T10:05:31.2339570+02:00,head,6436,360.8,688.9,6.7,94
2026-09-07T10:05:31.2359696+02:00,worker,10544,4042.6,6821.8,19.9,166
2026-09-07T10:05:33.3008370+02:00,head,6436,360.9,689,6.7,94
2026-09-07T10:05:33.3048370+02:00,worker,10544,4042.6,6821.8,19.9,166
2026-09-07T10:05:35.3774249+02:00,head,6436,361.1,689.1,6.7,94
2026-09-07T10:05:35.3804246+02:00,worker,10544,4042.6,6821.8,20,166
2026-09-07T10:05:37.4651248+02:00,head,6436,361.1,689.1,6.7,94
2026-09-07T10:05:37.4681254+02:00,worker,10544,4042.6,6821.8,20,166
2026-09-07T10:05:39.5302168+02:00,head,6436,361.1,689.2,6.8,94
2026-09-07T10:05:39.5332226+02:00,worker,10544,4044.4,6822.5,20.1,171
2026-09-07T10:05:41.5941499+02:00,head,6436,361.1,689.2,6.8,94
2026-09-07T10:05:41.5971498+02:00,worker,10544,4044.2,6822.1,20.1,166
2026-09-07T10:05:43.6687303+02:00,head,6436,361.1,689.2,6.8,94
2026-09-07T10:05:43.6707330+02:00,worker,10544,4044.2,6822.1,20.2,166
2026-09-07T10:05:45.7113747+02:00,head,6436,361.1,689.2,6.9,94
2026-09-07T10:05:45.7143617+02:00,worker,10544,4044.2,6822.1,20.2,166
2026-09-07T10:05:47.7868614+02:00,head,6436,361.1,689.2,6.9,94
2026-09-07T10:05:47.7908607+02:00,worker,10544,4044.2,6822.1,20.3,166
2026-09-07T10:05:49.8822110+02:00,head,6436,361.3,689.3,6.9,94
2026-09-07T10:05:49.8847105+02:00,worker,10544,4047.8,6822.6,20.5,168
2026-09-07T10:05:51.9799487+02:00,head,6436,361.2,689.2,6.9,91
2026-09-07T10:05:51.9849493+02:00,worker,10544,4047.7,6822.5,20.6,166
2026-09-07T10:05:54.0350028+02:00,head,6436,362.5,690.3,7,92
2026-09-07T10:05:54.0380017+02:00,worker,10544,4054.9,6826.8,21.5,173
2026-09-07T10:05:56.1073862+02:00,head,6436,362.6,690.4,7,92
2026-09-07T10:05:56.1096905+02:00,worker,10544,4054.8,6826.5,21.6,170
2026-09-07T10:05:58.1829788+02:00,head,6436,362.7,690.4,7,92
2026-09-07T10:05:58.1859787+02:00,worker,10544,4054.8,6826.5,21.6,170
2026-09-07T10:06:00.2595796+02:00,head,6436,366.6,694.1,7.2,92
2026-09-07T10:06:00.2625803+02:00,worker,10544,4056.5,6827.1,21.7,172
2026-09-07T10:06:02.3016185+02:00,head,6436,366.9,694.5,7.5,95
2026-09-07T10:06:02.3046185+02:00,worker,10544,4135.7,7128.1,24.2,175
2026-09-07T10:06:04.3795421+02:00,head,6436,374.4,700.6,7.9,95
2026-09-07T10:06:04.3820550+02:00,worker,10544,4146,7130.5,25.8,177
2026-09-07T10:06:06.4525740+02:00,head,6436,378.1,702.2,8,95
2026-09-07T10:06:06.4550924+02:00,worker,10544,4148.5,7130.7,26.4,174
2026-09-07T10:06:08.5430732+02:00,head,6436,376.2,697.9,8.1,97
2026-09-07T10:06:08.5460737+02:00,worker,10544,4147.1,7123.2,27.6,173
2026-09-07T10:06:10.6040516+02:00,head,6436,415.8,700.2,8.4,97
2026-09-07T10:06:10.6060643+02:00,worker,10544,4152.5,7124,29,173
2026-09-07T10:06:12.6553362+02:00,head,6436,412.4,696.9,8.5,96
2026-09-07T10:06:12.6574040+02:00,worker,10544,4156.7,7125,30.3,176
2026-09-07T10:06:14.7146491+02:00,head,6436,415.9,700.3,8.7,96
2026-09-07T10:06:14.7186500+02:00,worker,10544,4162,7125.5,31.6,175
2026-09-07T10:06:16.7839363+02:00,head,6436,425.9,711.6,8.9,94
2026-09-07T10:06:16.7865036+02:00,worker,10544,4165,7125.7,32.1,174
2026-09-07T10:06:18.8455972+02:00,head,6436,415.3,701.8,8.9,94
2026-09-07T10:06:18.8485945+02:00,worker,10544,4168.1,7126.2,32.9,175
2026-09-07T10:06:20.9153141+02:00,head,6436,420.9,707.4,9,97
2026-09-07T10:06:20.9183224+02:00,worker,10544,4172.6,7126.8,34.3,175
2026-09-07T10:06:22.9815689+02:00,head,6436,416.9,702.2,9.1,94
2026-09-07T10:06:22.9849185+02:00,worker,10544,4174.8,7126.9,35,174
2026-09-07T10:06:25.0512411+02:00,head,6436,417.2,702.5,9.2,94
2026-09-07T10:06:25.0542399+02:00,worker,10544,4181.4,7127.3,35.8,174
2026-09-07T10:06:27.0953086+02:00,head,6436,419.6,705.5,9.3,94
2026-09-07T10:06:27.0993076+02:00,worker,10544,4185,7127.4,36.8,172
2026-09-07T10:06:29.1577268+02:00,head,6436,420.7,706.4,9.5,95
2026-09-07T10:06:29.1597268+02:00,worker,10544,4189,7127.9,37.8,173
2026-09-07T10:06:31.2128971+02:00,head,6436,421.6,707.2,9.6,95
2026-09-07T10:06:31.2167419+02:00,worker,10544,4192.3,7128.1,38.9,172
2026-09-07T10:06:33.2697870+02:00,head,6436,417.1,701.5,9.8,96
2026-09-07T10:06:33.2723052+02:00,worker,10544,4219.1,7904.9,39.6,172
2026-09-07T10:06:35.3327983+02:00,head,6436,419.3,703.5,9.8,96
2026-09-07T10:06:35.3358065+02:00,worker,10544,4198.7,7128.7,40.3,174
2026-09-07T10:06:37.3907448+02:00,head,6436,416.3,700.6,9.9,94
2026-09-07T10:06:37.3927453+02:00,worker,10544,4199.7,7128.7,40.6,173
2026-09-07T10:06:39.4464301+02:00,head,6436,417.4,701.7,10,94
2026-09-07T10:06:39.4494450+02:00,worker,10544,4202.3,7128.8,41,172
2026-09-07T10:06:41.5157275+02:00,head,6436,419.6,703.9,10.1,94
2026-09-07T10:06:41.5187204+02:00,worker,10544,4205.8,7129.3,41.9,175
2026-09-07T10:06:43.5964153+02:00,head,6436,421.4,705.6,10.2,96
2026-09-07T10:06:43.5990242+02:00,worker,10544,4207.8,7129.3,42.5,173
2026-09-07T10:06:45.6645127+02:00,head,6436,422.3,706.6,10.3,95
2026-09-07T10:06:45.6675128+02:00,worker,10544,4210.4,7129.5,43,172
2026-09-07T10:06:47.7372630+02:00,head,6436,436,703.5,10.4,94
2026-09-07T10:06:47.7412797+02:00,worker,10544,4237.1,7904.8,43.9,172
2026-09-07T10:06:49.8204003+02:00,head,6436,439.3,706.8,10.5,97
2026-09-07T10:06:49.8235463+02:00,worker,10544,4225.9,7138.2,45.4,174
2026-09-07T10:06:51.8814539+02:00,head,6436,440,707.5,10.6,94
2026-09-07T10:06:51.8834558+02:00,worker,10544,4236.5,7145.3,46.4,173
2026-09-07T10:06:53.9608132+02:00,head,6436,437.4,705,10.7,94
2026-09-07T10:06:53.9631044+02:00,worker,10544,4239,7141.8,47.3,172
2026-09-07T10:06:56.0569323+02:00,head,6436,438.7,706.2,10.8,94
2026-09-07T10:06:56.0599322+02:00,worker,10544,4265.6,7928.7,48.3,172
2026-09-07T10:06:58.1049339+02:00,head,6436,438.1,705.7,10.9,95
2026-09-07T10:06:58.1059345+02:00,worker,10544,4268.8,7926.8,49,172
2026-09-07T10:07:00.1815637+02:00,head,6436,438.5,706.2,11,97
2026-09-07T10:07:00.1845662+02:00,worker,10544,4248.8,7142.7,49.9,172
2026-09-07T10:07:02.2536910+02:00,head,6436,438.4,708.2,11.1,93
2026-09-07T10:07:02.2566911+02:00,worker,10544,4251.9,7142.8,50.5,171
2026-09-07T10:07:04.3289293+02:00,head,6436,449.7,717.9,11.2,96
2026-09-07T10:07:04.3319220+02:00,worker,10544,4254.9,7143,51.3,171
2026-09-07T10:07:06.3876813+02:00,head,6436,450,718,11.3,94
2026-09-07T10:07:06.3902021+02:00,worker,10544,4258,7143.1,52.1,171
2026-09-07T10:07:08.4515123+02:00,head,6436,437.9,705.6,11.3,91
2026-09-07T10:07:08.4546367+02:00,worker,10544,4284.9,7919.1,53,173
2026-09-07T10:07:10.5151575+02:00,head,6436,439.1,706.9,11.4,93
2026-09-07T10:07:10.5181575+02:00,worker,10544,4265.8,7143.6,53.8,172
2026-09-07T10:07:12.5646073+02:00,head,6436,439.2,707,11.5,92
2026-09-07T10:07:12.5666082+02:00,worker,10544,4292,7931,54.4,171
2026-09-07T10:07:14.6501170+02:00,head,6436,439.4,707.4,11.6,94
2026-09-07T10:07:14.6531268+02:00,worker,10544,4273.8,7144.1,55.2,171
2026-09-07T10:07:16.7079162+02:00,head,6436,444.3,712.3,11.8,91
2026-09-07T10:07:16.7104708+02:00,worker,10544,4280.9,6912.4,55.7,174
2026-09-07T10:07:18.7730877+02:00,head,6436,442.3,710.1,12,91
2026-09-07T10:07:18.7760878+02:00,worker,10544,4286.9,6912.5,56.2,171
2026-09-07T10:07:20.8417181+02:00,head,6436,442.8,710.5,12.1,95
2026-09-07T10:07:20.8447633+02:00,worker,10544,4289.7,6912.8,56.3,172
2026-09-07T10:07:22.8881357+02:00,head,6436,442.9,710.7,12.3,95
2026-09-07T10:07:22.8911353+02:00,worker,10544,4291.9,6913.1,56.4,172
2026-09-07T10:07:24.9305049+02:00,head,6436,447.6,715.2,12.4,96
2026-09-07T10:07:24.9340139+02:00,worker,10544,4295.9,6913.1,56.6,171
2026-09-07T10:07:26.9889600+02:00,head,6436,457.7,725.6,12.6,95
2026-09-07T10:07:26.9909605+02:00,worker,10544,4297,6913.3,56.6,172
2026-09-07T10:07:29.0899336+02:00,head,6436,456.9,726,13.1,95
2026-09-07T10:07:29.0929256+02:00,worker,10544,4299.5,6913.7,56.9,174
2026-09-07T10:07:31.1403799+02:00,head,6436,460,728.4,13.2,95
2026-09-07T10:07:31.1428830+02:00,worker,10544,4299.6,6913.7,56.9,172
2026-09-07T10:07:33.2055005+02:00,head,6436,451.3,724.6,13.4,97
2026-09-07T10:07:33.2074996+02:00,worker,10544,4299.6,6913.7,56.9,172
2026-09-07T10:07:35.2965497+02:00,head,6436,455.6,727,13.6,95
2026-09-07T10:07:35.3007140+02:00,worker,10544,4299.5,6913.7,56.9,171
2026-09-07T10:07:37.3717866+02:00,head,6436,444.1,712.4,13.6,69
2026-09-07T10:07:37.3737859+02:00,worker,10544,4489.9,7212.3,73.2,171
2026-09-07T10:07:39.4308328+02:00,head,6436,444.1,711.9,13.6,56
2026-09-07T10:07:39.4328388+02:00,worker,10544,4424.7,7492.8,76.3,173
2026-09-07T10:07:41.5031379+02:00,head,6436,444.1,711.9,13.6,56
