i,ms,http,effectiveMode,decisionKind,tookMs
0,365,200,HYBRID,multi_leg,306
1,326,200,HYBRID,multi_leg,251
2,411,200,TEXT,multi_leg,351
3,512,200,HYBRID,multi_leg,451
4,457,200,TEXT,multi_leg,393
5,296,200,HYBRID,multi_leg,244
6,581,200,TEXT,multi_leg,516
7,361,200,HYBRID,multi_leg,302
8,923,200,HYBRID,multi_leg,798
9,844,200,HYBRID,multi_leg,782
10,425,200,HYBRID,multi_leg,375
11,855,200,HYBRID,multi_leg,791
12,469,200,TEXT,multi_leg,403
13,375,200,HYBRID,multi_leg,293
14,435,200,HYBRID,multi_leg,289
15,363,200,HYBRID,multi_leg,301
16,396,200,HYBRID,multi_leg,323
17,456,200,TEXT,multi_leg,400
18,379,200,HYBRID,multi_leg,322
19,307,200,HYBRID,multi_leg,244
20,841,200,HYBRID,multi_leg,787
21,379,200,HYBRID,multi_leg,327
22,319,200,HYBRID,multi_leg,242
23,321,200,HYBRID,multi_leg,265
24,844,200,HYBRID,multi_leg,783
25,490,200,HYBRID,multi_leg,353
26,389,200,HYBRID,multi_leg,327
27,854,200,HYBRID,multi_leg,792
28,851,200,HYBRID,multi_leg,788
29,383,200,HYBRID,multi_leg,332
30,505,200,HYBRID,multi_leg,442
31,380,200,TEXT,multi_leg,320
32,425,200,HYBRID,multi_leg,365
33,455,200,TEXT,multi_leg,396
34,300,200,HYBRID,multi_leg,246
35,534,200,TEXT,multi_leg,464
36,312,200,HYBRID,multi_leg,250
37,852,200,HYBRID,multi_leg,793
38,865,200,HYBRID,multi_leg,787
39,446,200,HYBRID,multi_leg,370
40,898,200,HYBRID,multi_leg,832
41,317,200,TEXT,multi_leg,242
42,430,200,HYBRID,multi_leg,291
43,347,200,HYBRID,multi_leg,281
44,383,200,HYBRID,multi_leg,303
45,392,200,HYBRID,multi_leg,320
46,453,200,TEXT,multi_leg,395
47,418,200,HYBRID,multi_leg,354
48,340,200,HYBRID,multi_leg,278
49,865,200,HYBRID,multi_leg,792
50,360,200,HYBRID,multi_leg,297
51,320,200,HYBRID,multi_leg,257
52,423,200,HYBRID,multi_leg,265
53,456,200,HYBRID,multi_leg,389
54,406,200,HYBRID,multi_leg,333
55,945,200,HYBRID,multi_leg,867
56,854,200,HYBRID,multi_leg,781
57,503,200,HYBRID,multi_leg,441
58,341,200,HYBRID,multi_leg,284
59,485,200,HYBRID,multi_leg,419
