i,ms,http,effectiveMode,decisionKind,tookMs
0,417,200,HYBRID,multi_leg,339
1,326,200,HYBRID,multi_leg,259
2,438,200,TEXT,multi_leg,340
3,431,200,HYBRID,multi_leg,358
4,357,200,HYBRID,multi_leg,281
5,341,200,HYBRID,multi_leg,262
6,982,200,HYBRID,multi_leg,853
7,346,200,HYBRID,multi_leg,282
8,898,200,HYBRID,multi_leg,847
9,957,200,HYBRID,multi_leg,816
10,457,200,HYBRID,multi_leg,381
11,886,200,HYBRID,multi_leg,809
12,349,200,TEXT,multi_leg,270
13,646,200,HYBRID,multi_leg,290
14,369,200,HYBRID,multi_leg,301
15,378,200,HYBRID,multi_leg,303
16,388,200,HYBRID,multi_leg,333
17,484,200,TEXT,multi_leg,423
18,415,200,HYBRID,multi_leg,351
19,314,200,HYBRID,multi_leg,252
20,530,200,HYBRID,multi_leg,478
21,438,200,HYBRID,multi_leg,353
22,314,200,HYBRID,multi_leg,248
23,326,200,HYBRID,multi_leg,266
24,560,200,HYBRID,multi_leg,498
25,411,200,HYBRID,multi_leg,352
26,868,200,HYBRID,multi_leg,789
27,948,200,HYBRID,multi_leg,810
28,932,200,HYBRID,multi_leg,859
29,341,200,HYBRID,multi_leg,266
30,551,200,HYBRID,multi_leg,483
31,311,200,TEXT,multi_leg,247
32,433,200,HYBRID,multi_leg,374
33,471,200,TEXT,multi_leg,400
34,302,200,HYBRID,multi_leg,245
35,551,200,TEXT,multi_leg,461
36,302,200,HYBRID,multi_leg,250
37,883,200,HYBRID,multi_leg,789
38,845,200,HYBRID,multi_leg,788
39,464,200,HYBRID,multi_leg,392
40,870,200,HYBRID,multi_leg,787
41,299,200,TEXT,multi_leg,242
42,362,200,HYBRID,multi_leg,306
43,331,200,HYBRID,multi_leg,272
44,347,200,HYBRID,multi_leg,298
45,387,200,HYBRID,multi_leg,333
46,473,200,TEXT,multi_leg,405
47,505,200,HYBRID,multi_leg,414
48,342,200,HYBRID,multi_leg,245
49,881,200,HYBRID,multi_leg,815
50,469,200,HYBRID,multi_leg,321
51,315,200,HYBRID,multi_leg,255
52,358,200,HYBRID,multi_leg,303
53,586,200,HYBRID,multi_leg,499
54,427,200,HYBRID,multi_leg,351
55,850,200,HYBRID,multi_leg,787
56,883,200,HYBRID,multi_leg,793
57,440,200,HYBRID,multi_leg,373
58,318,200,HYBRID,multi_leg,242
59,504,200,HYBRID,multi_leg,441
