i,ms,http,effectiveMode,decisionKind,tookMs
0,129,200,TEXT,sparse_shortcut,32
1,108,200,TEXT,sparse_shortcut,27
2,97,200,TEXT,sparse_shortcut,28
3,95,200,TEXT,sparse_shortcut,23
4,77,200,TEXT,sparse_shortcut,24
5,92,200,TEXT,sparse_shortcut,27
6,109,200,TEXT,sparse_shortcut,28
7,91,200,TEXT,sparse_shortcut,23
8,92,200,TEXT,sparse_shortcut,26
9,96,200,TEXT,sparse_shortcut,26
10,78,200,TEXT,sparse_shortcut,24
11,79,200,TEXT,sparse_shortcut,24
12,94,200,TEXT,sparse_shortcut,24
13,160,200,TEXT,sparse_shortcut,26
14,76,200,TEXT,sparse_shortcut,15
15,107,200,TEXT,sparse_shortcut,25
16,92,200,TEXT,sparse_shortcut,25
17,91,200,TEXT,sparse_shortcut,25
18,100,200,TEXT,sparse_shortcut,20
19,78,200,TEXT,sparse_shortcut,25
20,78,200,TEXT,sparse_shortcut,27
21,176,200,TEXT,sparse_shortcut,24
22,78,200,TEXT,sparse_shortcut,23
23,95,200,TEXT,sparse_shortcut,24
24,94,200,TEXT,sparse_shortcut,24
25,91,200,TEXT,sparse_shortcut,24
26,110,200,TEXT,sparse_shortcut,26
27,89,200,TEXT,sparse_shortcut,22
28,155,200,TEXT,sparse_shortcut,26
29,76,200,TEXT,sparse_shortcut,23
