ts,role,pid,workingSetMB,privateMB,cpuSec,threads
2026-09-07T10:01:18.4149261+02:00,head,35200,264.9,656.1,2.3,76
2026-09-07T10:01:18.4224543+02:00,worker,44620,258,1205.5,2.4,48
2026-09-07T10:01:20.4973348+02:00,head,35200,269.7,657.8,2.5,77
2026-09-07T10:01:20.5013411+02:00,worker,44620,292.2,1238.1,4.1,47
2026-09-07T10:01:22.5777123+02:00,head,35200,296.1,672.6,3,83
2026-09-07T10:01:22.5807437+02:00,worker,44620,310.2,1246.5,5.5,54
2026-09-07T10:01:24.6464776+02:00,head,35200,305.3,674.7,3.4,85
2026-09-07T10:01:24.6494787+02:00,worker,44620,1486.6,2373.2,9.4,58
2026-09-07T10:01:26.6848267+02:00,head,35200,303,672.6,3.4,85
2026-09-07T10:01:26.6878320+02:00,worker,44620,2234.8,3281.3,11.7,96
2026-09-07T10:01:28.7472701+02:00,head,35200,303.1,672.5,3.4,80
2026-09-07T10:01:28.7523034+02:00,worker,44620,3117.8,3402.5,14,119
2026-09-07T10:01:30.8450650+02:00,head,35200,303.2,672.5,3.4,80
2026-09-07T10:01:30.8500661+02:00,worker,44620,4172.2,5587.3,16.7,142
2026-09-07T10:01:32.9283421+02:00,head,35200,303.3,672.5,3.4,81
2026-09-07T10:01:32.9313411+02:00,worker,44620,4021.2,7036.9,19.3,170
2026-09-07T10:01:35.0732222+02:00,head,35200,327.9,674,3.5,84
2026-09-07T10:01:35.0771346+02:00,worker,44620,4032.2,7047,19.7,169
2026-09-07T10:01:37.1347774+02:00,head,35200,327.9,674,3.5,84
2026-09-07T10:01:37.1377776+02:00,worker,44620,4032.1,6824.3,19.8,165
2026-09-07T10:01:39.2327904+02:00,head,35200,327.9,674,3.5,84
2026-09-07T10:01:39.2357901+02:00,worker,44620,4032.1,6824.4,19.8,165
2026-09-07T10:01:41.2824673+02:00,head,35200,327.9,674,3.5,84
2026-09-07T10:01:41.2854599+02:00,worker,44620,4032.1,6824.4,19.9,165
2026-09-07T10:01:43.3984350+02:00,head,35200,328,674,3.5,84
2026-09-07T10:01:43.4014295+02:00,worker,44620,4032.1,6824.4,19.9,165
2026-09-07T10:01:45.4548635+02:00,head,35200,328.5,674.3,3.6,88
2026-09-07T10:01:45.4578629+02:00,worker,44620,4033.6,6824.8,20,166
2026-09-07T10:01:47.5261199+02:00,head,35200,328.5,674.3,3.6,89
2026-09-07T10:01:47.5286367+02:00,worker,44620,4033.6,6824.7,20,165
2026-09-07T10:01:49.5941253+02:00,head,35200,329.2,674.7,3.6,91
2026-09-07T10:01:49.5961251+02:00,worker,44620,4036.9,6825.7,20.3,169
2026-09-07T10:01:51.6585976+02:00,head,35200,329.2,674.7,3.7,91
2026-09-07T10:01:51.6606131+02:00,worker,44620,4036.9,6825.5,20.3,166
2026-09-07T10:01:53.7145316+02:00,head,35200,329.5,675,3.7,95
2026-09-07T10:01:53.7166328+02:00,worker,44620,4041.6,6829.1,20.6,170
2026-09-07T10:01:55.7836546+02:00,head,35200,329.5,675,3.7,95
2026-09-07T10:01:55.7867489+02:00,worker,44620,4041.5,6828.9,20.7,166
2026-09-07T10:01:57.8480586+02:00,head,35200,329.5,674.9,3.7,94
