i,ms,http,effectiveMode,decisionKind,tookMs
0,376,200,HYBRID,multi_leg,318
1,344,200,HYBRID,multi_leg,288
2,464,200,TEXT,multi_leg,323
3,421,200,HYBRID,multi_leg,361
4,460,200,TEXT,multi_leg,396
5,312,200,HYBRID,multi_leg,249
6,519,200,TEXT,multi_leg,456
7,315,200,HYBRID,multi_leg,250
8,866,200,HYBRID,multi_leg,799
9,866,200,HYBRID,multi_leg,796
10,440,200,HYBRID,multi_leg,373
11,840,200,HYBRID,multi_leg,790
12,318,200,TEXT,multi_leg,247
13,349,200,HYBRID,multi_leg,288
14,389,200,HYBRID,multi_leg,315
15,357,200,HYBRID,multi_leg,303
16,373,200,HYBRID,multi_leg,323
17,485,200,TEXT,multi_leg,403
18,666,200,HYBRID,multi_leg,601
19,340,200,HYBRID,multi_leg,262
20,867,200,HYBRID,multi_leg,800
21,388,200,HYBRID,multi_leg,320
22,315,200,HYBRID,multi_leg,243
23,342,200,HYBRID,multi_leg,268
24,377,200,HYBRID,multi_leg,317
25,400,200,HYBRID,multi_leg,347
26,863,200,HYBRID,multi_leg,797
27,845,200,HYBRID,multi_leg,777
28,567,200,HYBRID,multi_leg,502
29,376,200,HYBRID,multi_leg,325
30,295,200,HYBRID,multi_leg,242
31,386,200,TEXT,multi_leg,320
32,423,200,HYBRID,multi_leg,358
33,923,200,HYBRID,multi_leg,788
34,313,200,HYBRID,multi_leg,264
35,534,200,TEXT,multi_leg,475
36,361,200,HYBRID,multi_leg,304
37,880,200,HYBRID,multi_leg,791
38,849,200,HYBRID,multi_leg,776
39,452,200,HYBRID,multi_leg,377
40,849,200,HYBRID,multi_leg,790
41,316,200,TEXT,multi_leg,248
42,358,200,HYBRID,multi_leg,288
43,342,200,HYBRID,multi_leg,269
44,373,200,HYBRID,multi_leg,316
45,402,200,HYBRID,multi_leg,342
46,453,200,TEXT,multi_leg,394
47,373,200,HYBRID,multi_leg,300
48,357,200,HYBRID,multi_leg,297
49,864,200,HYBRID,multi_leg,809
50,374,200,HYBRID,multi_leg,318
51,304,200,HYBRID,multi_leg,241
52,363,200,HYBRID,multi_leg,268
53,487,200,HYBRID,multi_leg,421
54,423,200,HYBRID,multi_leg,332
55,860,200,HYBRID,multi_leg,792
56,888,200,HYBRID,multi_leg,771
57,869,200,HYBRID,multi_leg,812
58,409,200,HYBRID,multi_leg,360
59,296,200,HYBRID,multi_leg,242
