i,ms,http,effectiveMode,decisionKind,tookMs
0,625,200,HYBRID,multi_leg,521
1,332,200,HYBRID,multi_leg,257
2,402,200,TEXT,multi_leg,335
3,426,200,HYBRID,multi_leg,347
4,853,200,HYBRID,multi_leg,800
5,346,200,HYBRID,multi_leg,286
6,597,200,TEXT,multi_leg,468
7,317,200,HYBRID,multi_leg,257
8,436,200,TEXT,multi_leg,364
9,872,200,HYBRID,multi_leg,794
10,457,200,HYBRID,multi_leg,378
11,916,200,HYBRID,multi_leg,785
12,332,200,TEXT,multi_leg,276
13,300,200,HYBRID,multi_leg,244
14,358,200,HYBRID,multi_leg,272
15,328,200,HYBRID,multi_leg,254
16,407,200,HYBRID,multi_leg,343
17,453,200,TEXT,multi_leg,395
18,471,200,HYBRID,multi_leg,421
19,298,200,HYBRID,multi_leg,247
20,871,200,HYBRID,multi_leg,796
21,389,200,HYBRID,multi_leg,320
22,330,200,HYBRID,multi_leg,250
23,314,200,HYBRID,multi_leg,264
24,518,200,HYBRID,multi_leg,460
25,406,200,HYBRID,multi_leg,334
26,837,200,HYBRID,multi_leg,786
27,885,200,HYBRID,multi_leg,803
28,439,200,HYBRID,multi_leg,387
29,311,200,HYBRID,multi_leg,241
30,376,200,HYBRID,multi_leg,310
31,302,200,TEXT,multi_leg,244
32,377,200,HYBRID,multi_leg,313
33,343,200,HYBRID,multi_leg,282
34,320,200,HYBRID,multi_leg,249
35,512,200,TEXT,multi_leg,452
36,315,200,HYBRID,multi_leg,264
37,904,200,HYBRID,multi_leg,782
38,851,200,HYBRID,multi_leg,787
39,443,200,HYBRID,multi_leg,372
40,838,200,HYBRID,multi_leg,780
41,469,200,TEXT,multi_leg,397
42,315,200,HYBRID,multi_leg,261
43,329,200,HYBRID,multi_leg,269
44,414,200,HYBRID,multi_leg,299
45,408,200,HYBRID,multi_leg,323
46,441,200,TEXT,multi_leg,383
47,403,200,HYBRID,multi_leg,347
48,312,200,HYBRID,multi_leg,245
49,853,200,HYBRID,multi_leg,781
50,376,200,HYBRID,multi_leg,317
51,315,200,HYBRID,multi_leg,246
52,396,200,HYBRID,multi_leg,270
53,470,200,HYBRID,multi_leg,415
54,413,200,HYBRID,multi_leg,335
55,875,200,HYBRID,multi_leg,805
56,854,200,HYBRID,multi_leg,775
57,487,200,HYBRID,multi_leg,410
58,424,200,HYBRID,multi_leg,298
59,609,200,HYBRID,multi_leg,524
