i,ms,http,effectiveMode,decisionKind,tookMs
0,87,200,TEXT,sparse_shortcut,32
1,92,200,TEXT,sparse_shortcut,26
2,123,200,TEXT,sparse_shortcut,27
3,80,200,TEXT,sparse_shortcut,23
4,75,200,TEXT,sparse_shortcut,24
5,77,200,TEXT,sparse_shortcut,26
6,79,200,TEXT,sparse_shortcut,25
7,94,200,TEXT,sparse_shortcut,22
8,78,200,TEXT,sparse_shortcut,26
9,173,200,TEXT,sparse_shortcut,43
10,100,200,TEXT,sparse_shortcut,26
11,100,200,TEXT,sparse_shortcut,25
12,87,200,TEXT,sparse_shortcut,24
13,79,200,TEXT,sparse_shortcut,20
14,79,200,TEXT,sparse_shortcut,14
15,140,200,TEXT,sparse_shortcut,25
16,78,200,TEXT,sparse_shortcut,24
17,113,200,TEXT,sparse_shortcut,30
18,92,200,TEXT,sparse_shortcut,21
19,94,200,TEXT,sparse_shortcut,25
20,74,200,TEXT,sparse_shortcut,25
21,95,200,TEXT,sparse_shortcut,24
22,82,200,TEXT,sparse_shortcut,23
23,78,200,TEXT,sparse_shortcut,22
24,94,200,TEXT,sparse_shortcut,26
25,118,200,TEXT,sparse_shortcut,23
26,79,200,TEXT,sparse_shortcut,25
27,110,200,TEXT,sparse_shortcut,22
28,82,200,TEXT,sparse_shortcut,26
29,82,200,TEXT,sparse_shortcut,24
